"url_original_gsc","normalized_url","apex_host","clicks","impressions","ctr","position","page_type"
"https://www.alefotografo.com.br/blog/10-lugares-em-sao-paulo-para-tirar-boas-fotos","https://www.alefotografo.com.br/blog/10-lugares-em-sao-paulo-para-tirar-boas-fotos","NAO","2014","52767","3.82%","4.91","BLOG"
"https://www.alefotografo.com.br/blog/os-6-melhores-aplicativos-para-editar-videos-pelo-celular","https://www.alefotografo.com.br/blog/os-6-melhores-aplicativos-para-editar-videos-pelo-celular","NAO","1561","405831","0.38%","7.44","BLOG"
"https://www.alefotografo.com.br/blog/fotografo-5-poses-para-retrato-corporativo","https://www.alefotografo.com.br/blog/fotografo-5-poses-para-retrato-corporativo","NAO","807","162466","0.5%","5.3","BLOG"
"https://www.alefotografo.com.br/blog/linguagem-corporal-na-fotografia-de-retratos","https://www.alefotografo.com.br/blog/linguagem-corporal-na-fotografia-de-retratos","NAO","322","34902","0.92%","6.98","BLOG"
"https://www.alefotografo.com.br/","https://www.alefotografo.com.br/","NAO","312","24620","1.27%","11.98","HOME"
"https://www.alefotografo.com.br/blog/11-ideias-para-o-plano-de-fundo-de-seu-retrato-profissional","https://www.alefotografo.com.br/blog/11-ideias-para-o-plano-de-fundo-de-seu-retrato-profissional","NAO","302","72827","0.41%","5.86","BLOG"
"https://www.alefotografo.com.br/blog/seu-icloud-esta-cheio-5-dicas-para-voce-ganhar-mais-armazenamento-para-suas-fotos-e-videos","https://www.alefotografo.com.br/blog/seu-icloud-esta-cheio-5-dicas-para-voce-ganhar-mais-armazenamento-para-suas-fotos-e-videos","NAO","300","144210","0.21%","8.3","BLOG"
"https://www.alefotografo.com.br/blog/psicologia-das-cores-e-fotografia-saiba-como-elas-interagem","https://www.alefotografo.com.br/blog/psicologia-das-cores-e-fotografia-saiba-como-elas-interagem","NAO","298","72933","0.41%","3.93","BLOG"
"https://www.alefotografo.com.br/blog/dress-code-corporativo-o-que-vestir-numa-sessao-de-fotos-profissionais","https://www.alefotografo.com.br/blog/dress-code-corporativo-o-que-vestir-numa-sessao-de-fotos-profissionais","NAO","255","30110","0.85%","4.76","BLOG"
"https://www.alefotografo.com.br/blog/direitos-autorais-na-fotografia-e-nos-retratos-como-funciona-1","https://www.alefotografo.com.br/blog/direitos-autorais-na-fotografia-e-nos-retratos-como-funciona-1","NAO","237","32154","0.74%","6.87","BLOG"
